Country,CODE,Continent,Extinct,Endangered,Near_Threat,Least_Concern,Total
Afghanistan,AFG,"West and Central Asia",0,33,22,549,619
Albania,ALB,Europe,1,112,62,758,992
Algeria,DZA,"North Africa",3,97,47,675,907
"American Samoa",ASM,Oceania,1,89,88,617,855
Andorra,AND,Europe,0,11,17,272,305
Angola,AGO,"Sub Saharan Africa",0,96,49,1853,2183
Anguilla,AIA,"Caribbean Islands",0,47,16,496,591
"Antigua and Barbuda",ATG,"Caribbean Islands",1,49,21,610,720
Argentina,ARG,"South America",5,173,120,1518,1989
Armenia,ARM,"West and Central Asia",0,40,35,450,539
Aruba,ABW,"Caribbean Islands",0,27,14,469,533
Australia,AUS,Oceania,34,818,407,2899,4681
Austria,AUT,Europe,3,93,70,725,947
Azerbaijan,AZE,"West and Central Asia",1,50,39,551,677
Bahrain,BHR,"West and Central Asia",0,32,50,418,521
Bangladesh,BGD,"South and Southeast Asia",1,116,78,1192,1465
Barbados,BRB,"Caribbean Islands",0,48,21,610,716
Belarus,BLR,"North Asia",0,20,35,453,513
Belgium,BEL,Europe,1,30,40,597,699
Belize,BLZ,"North and Central America",1,82,56,1245,1448
Benin,BEN,"Sub Saharan Africa",0,58,37,1090,1253
Bermuda,BMU,"Caribbean Islands",4,56,19,397,506
Bhutan,BTN,"South and Southeast Asia",0,53,42,686,788
"Bosnia and Herzegovina",BIH,Europe,0,84,50,715,915
Botswana,BWA,"Sub Saharan Africa",0,22,29,993,1054
Brazil,BRA,"South America",10,450,231,3297,4611
Bulgaria,BGR,Europe,0,79,66,778,980
"Burkina Faso",BFA,"Sub Saharan Africa",1,26,23,761,813
Burundi,BDI,"Sub Saharan Africa",0,52,39,1034,1160
Cambodia,KHM,"South and Southeast Asia",0,207,170,1541,2094
Cameroon,CMR,"Sub Saharan Africa",0,264,72,2040,2552
Canada,CAN,"North America",7,90,51,1216,1428
"Cayman Islands",CYM,"Caribbean Islands",1,49,22,575,686
"Central African Republic",CAF,"Sub Saharan Africa",0,32,23,1345,1446
Chad,TCD,"Sub Saharan Africa",1,33,24,805,874
Chile,CHL,"South America",0,110,72,798,1205
China,CHN,"East Asia",5,496,228,2968,4619
Colombia,COL,"South America",2,506,202,3606,4774
Comoros,COM,"Sub Saharan Africa",0,99,108,623,899
"Cook Islands",COK,Oceania,15,62,53,485,663
"Costa Rica",CRI,"North and Central America",3,192,101,2291,2789
Croatia,HRV,Europe,1,151,67,884,1202
Cuba,CUB,"Caribbean Islands",7,161,48,857,1160
Cyprus,CYP,"West and Central Asia",0,42,27,482,600
"Czech Republic",CZE,Europe,0,35,47,610,726
Denmark,DNK,Europe,0,35,35,564,658
Djibouti,DJI,"Sub Saharan Africa",0,91,129,824,1134
Dominica,DMA,"Caribbean Islands",1,51,20,625,743
"Dominican Republic",DOM,"Caribbean Islands",9,111,44,706,916
Ecuador,ECU,"South America",6,460,166,2647,3598
Egypt,EGY,"North Africa",2,138,137,1168,1577
"El Salvador",SLV,"North and Central America",0,54,47,1270,1453
"Equatorial Guinea",GNQ,"Sub Saharan Africa",0,76,28,994,1170
Eritrea,ERI,"Sub Saharan Africa",0,109,143,1111,1461
Estonia,EST,Europe,0,17,22,477,521
Ethiopia,ETH,"Sub Saharan Africa",0,104,43,1318,1528
"Faroe Islands",FRO,Europe,1,14,5,182,213
Fiji,FJI,Oceania,1,213,158,877,1356
Finland,FIN,Europe,0,23,30,498,560
France,FRA,Europe,7,203,126,1194,1770
"French Polynesia",PYF,Oceania,83,128,69,598,964
Gabon,GAB,"Sub Saharan Africa",0,96,28,1358,1611
Georgia,GEO,"West and Central Asia",0,53,45,533,651
Germany,DEU,Europe,4,90,76,791,1036
Ghana,GHA,"Sub Saharan Africa",0,104,71,1509,1779
Gibraltar,GIB,Europe,0,26,16,340,410
Greece,GRC,Europe,1,233,110,1062,1601
Greenland,GRL,Europe,1,16,6,123,157
Grenada,GRD,"Caribbean Islands",0,48,18,530,637
Guam,GUM,Oceania,5,91,89,641,927
Guatemala,GTM,"North and Central America",1,185,82,1878,2275
Guernsey,GGY,Europe,0,2,2,75,85
Guinea,GIN,"Sub Saharan Africa",0,129,82,1396,1722
Guyana,GUY,"South America",0,64,57,1443,1651
Haiti,HTI,"Caribbean Islands",10,127,45,688,914
Honduras,HND,"North and Central America",3,174,80,1997,2386
"Hong Kong",HKG,"East Asia",0,53,29,596,755
Hungary,HUN,Europe,0,57,47,599,749
Iceland,ISL,Europe,1,21,12,193,247
India,IND,"South and Southeast Asia",0,655,335,3107,4853
Indonesia,IDN,"South and Southeast Asia",2,820,565,3751,6036
Iraq,IRQ,"West and Central Asia",1,68,63,690,853
Ireland,IRL,Europe,1,38,23,462,565
"Isle of Man",IMN,Europe,0,3,1,49,57
Israel,ISR,"West and Central Asia",4,152,132,1060,1445
Italy,ITA,Europe,2,212,148,1143,1716
Jamaica,JAM,"Caribbean Islands",4,84,38,625,806
Japan,JPN,"East Asia",13,341,238,1827,2854
Jersey,JEY,Europe,0,3,1,86,96
Jordan,JOR,"West and Central Asia",0,101,121,844,1128
Kazakhstan,KAZ,"West and Central Asia",1,62,33,672,814
Kenya,KEN,"Sub Saharan Africa",2,241,187,2461,3119
Kiribati,KIR,Oceania,1,100,123,571,847
Kuwait,KWT,"West and Central Asia",1,42,53,514,635
Kyrgyzstan,KGZ,"West and Central Asia",0,27,18,418,471
Latvia,LVA,Europe,0,25,32,512,580
Lebanon,LBN,"West and Central Asia",0,64,32,549,684
Lesotho,LSO,"Sub Saharan Africa",0,13,14,364,393
Liberia,LBR,"Sub Saharan Africa",0,109,74,1122,1392
Libya,LBY,"North Africa",1,51,27,506,628
Liechtenstein,LIE,Europe,0,4,19,357,386
Lithuania,LTU,Europe,0,21,30,490,551
Luxembourg,LUX,Europe,0,9,21,402,442
Madagascar,MDG,"Sub Saharan Africa",11,556,223,1311,2444
Malawi,MWI,"Sub Saharan Africa",0,146,36,1373,1603
